ID,MIN
1,33.855465
2,2706.03
3,1414.996
4,645.29736
5,128.23575
6,916.02344
7,286.21307
8,9.377834
9,1298.5571
10,1457.1912
11,58.197872
12,2509.543
13,728.4844
14,794.3708
15,2524.4053
16,1687.6838
17,1962.5107
18,259.8166
19,1352.2535
20,686.2246
21,183.66934
22,2478.297
23,5.532045
24,949.0287
25,1079.2562
26,687.6404
27,2121.8608
28,40.422024
29,58.197872
30,-188.97614
31,32.98343
32,2943.7522
33,2560.6533
34,64.60425
35,1649.351
36,533.14124
37,52.738914
38,1946.5507
39,485.76443
40,483.26294
41,44.05862
42,2099.4827
43,1248.2273
44,113.32186
45,2475.0632
46,62.986904
47,52.738914
48,2013.4906
49,569.3369
50,427.36755
51,1106.4604
52,767.99976
53,1756.2648
54,109.80915
55,2394.1362
56,2490.3088
57,2273.1553
58,4.7242217
59,2716.4333
60,551.68365
61,108.80195
62,1649.6298
63,1157.0426
64,742.8793
65,2278.2085
66,12.114153
67,1435.1566
68,168.01428
69,1954.6238
70,2541.9412
71,1549.1938
72,2762.7454
73,1276.8344
74,55.006397
75,2882.3813
76,1781.912
77,32.284042
78,137.66121
79,1422.9425
80,2907.3403
81,2561.9065
82,763.8311
83,83.369484
84,52.026722
85,836.2047
86,228.02797
87,2499.0579
88,296.54422
89,10.934362
90,1473.5123
91,1240.1595
92,2858.3066
93,464.27985
94,108.558876
95,798.2635
96,890.4645
97,2345.3328
98,2330.1194
99,2935.4148
100,1640.6558
101,2325.3733
102,917.0549
103,2896.6152
104,1845.9135
105,518.5376
106,251.7705
107,1357.6473
108,33.855465
109,390.06995
110,1190.1285
111,641.562
112,1097.0575
113,209.4019
114,1169.1278
115,769.6108
116,2264.469
117,2655.4268
118,2597.4517
119,198.03676
120,1447.1263
121,2097.4475
122,719.288
123,9.377834
124,13.570061
125,437.69565
126,1303.3105
127,2490.4768
128,46.01925
129,117.17622
130,2355.941
131,170.21788
132,114.59306
133,821.42676
134,229.06367
135,7.6409225
136,349.16867
137,988.5556
138,1835.2914
139,80.64596
140,251.21228
141,1584.5237
142,86.36945
143,1212.7397
144,1871.4512
145,2992.5334
146,324.97842
147,1908.7302
148,1716.2225
149,1032.8752
150,1488.3604
151,962.8946
152,1307.7037
153,659.3103
154,137.50957
155,451.40884
156,2862.6833
157,1870.1404
158,1825.9163
159,1642.2388
160,2025.9624
161,1847.4784
162,2405.4912
163,322.78772
164,2023.4081
165,158.04776
166,1869.515
167,107.27895
168,1492.4858
169,25.221104
170,144.65182
171,695.82477
172,103.40378
173,1395.1616
174,2207.6873
175,3054.937
176,2450.6992
177,2709.2673
178,1202.7852
179,1479.4237
180,2031.1993
181,19.780209
182,494.67545
183,1560.5813
184,42.015797
185,146.96088
186,112.41015
187,2864.9717
188,124.85733
189,2104.8257
190,562.07837
191,2189.5625
192,1246.5515
193,1103.1085
194,2025.4006
195,2508.074
196,212.15778
197,108.46265
198,1046.6329
199,800.87897
200,210.63013
201,511.7184
202,2446.7783
203,107.48676
204,2396.5957
205,2444.2217
206,1041.8588
207,1660.4253
208,1112.0098
209,13.570061
210,1454.3339
211,2762.8875
212,2742.7844
213,2905.3887
214,2248.4731
215,61.88073
216,2754.9265
217,311.91672
218,79.77039
219,2797.0027
220,775.2325
221,232.15907
222,192.99123
223,3197.0098
224,521.8441
225,203.43887
226,452.62747
227,117.38058
228,2249.0889
229,1585.632
230,1713.5665
231,302.9769
232,10.085665
233,2168.03
234,-28.249958
235,365.07608
236,2396.997
237,212.49667
238,791.61194
239,380.30228
240,1965.4601
241,272.12042
242,954.654
243,2065.4746
244,2596.6672
245,1822.8586
246,106.61121
247,2221.4133
248,724.169
249,2894.108
250,796.4327
251,648.06805
252,1687.2295
253,20.485453
254,292.14862
255,581.45325
256,2676.1355
257,1275.9762
258,1335.8418
259,2029.314
260,792.1689
261,659.1544
262,1236.6743
263,23.603756
264,351.4497
265,2402.6306
266,2579.9329
267,1392.5939
268,2721.6458
269,1067.4886
270,2294.0332
271,109.696556
272,44.4019
273,1471.0034
274,1721.0913
275,1497.8763
276,1551.2407
277,894.85187
278,801.5411
279,764.8811
280,133.7746
281,26.750145
282,1963.6812
283,2393.2397
284,690.33887
285,115.279686
286,45.314835
287,16.703743
288,2588.9302
289,10.934362
290,50.037525
291,636.55994
292,2767.7422
293,2212.092
294,1228.9613
295,1912.8058
296,924.07007
297,399.3854
298,2118.1277
299,1999.3176
300,679.2498
301,324.82153
302,1254.76
303,297.54526
304,809.1753
305,562.68964
306,1619.4822
307,2213.4785
308,2784.6572
309,1004.71155
310,8.98048
311,1045.554
312,437.97363
313,933.0491
314,1441.3164
315,381.33533
316,953.1696
317,114.75862
318,1857.0072
319,55.006397
320,1877.6313
321,2635.6772
322,841.7356
323,2247.661
324,1223.3846
325,33.855465
326,3340.5046
327,507.06195
328,6.656585
329,50.037525
330,739.53674
331,2578.545
332,1037.9054
333,1789.1057
334,171.79008
335,2915.0327
336,633.13556
337,1328.374
338,1213.0719
339,2350.4597
340,1778.4445
341,2880.9333
342,1060.778
343,585.319
344,602.7121
345,5.532045
346,71.50528
347,2457.759
348,2429.961
349,929.8491
350,97.64199
351,1500.6813
352,489.23087
353,1045.8336
354,1488.685
355,75.19191
356,620.0686
357,420.055
358,1284.3195
359,1983.62
360,860.9251
361,223.99922
362,745.24347
363,15.937723
364,980.372
365,859.339
366,207.08405
367,1431.9442
368,91.37022
369,783.79944
